Car Number,Team,Class,Year
0,University of Guelph,IC,2019
3,Formula Buckeyes,IC,2024
4,Bearcat Motorsports,IC,2024
8,RIT Formula SAE,IC,2018
10,Purdue Formula SAE,IC,2024
12,Virginia Motorsports,IC,2023
14,Pack Motorsports,IC,2024
16,Villanova University,IC,2024
18,Kennesaw Motorsports,IC,2024
24,Zips Racing Electric,EV,2024
26,University of Toronto Formula Racing Alumni,IC,2021
27,Ravens Racing,IC,2024
42,York College of Pennsylvania,IC,2024
49,"University of Maryland, College Park",IC,2024
53,Clemson Formula SAE,IC,2024
60,University Of Illinois at Chicago,IC,2024
64,Mountaineer Racing- WVU,IC,2024
66,UMD Racing,IC,2024
69,Clarkson Formula Knights,IC,2024
71,Wayne State University - Warrior Racing,IC,2024
95,Rocket Motorsports,IC,2024
108,Lawrence Tech - Blue Devil Motorsports,IC,2024
109,Temple Formula Racing,IC,2024
111,Oakland University,IC,2024
114,Lehigh University,IC,2024
127,UConn Formula SAE,IC,2024
131,University of Ottawa,IC,2024
153,State Racing IC,IC,2023
201,Formule ETS,EV,2024
202,Carnegie Mellon Racing,EV,2024
204,RIT Formula SAE,EV,2024
206,Kennesaw Motorsports EV,EV,2024
231,Panther Racing,EV,2024
277,University of Waterloo Formula Electric,EV,2024
283,Western Formula Racing,EV,2024
285,Nittany Motorsports,EV,2024
287,Western Michigan University,EV,2024
300,University of Akron Zips Racing Combustion,IC,2024
